0,0,0,0,5,-2,-1,-2,-1,5,1
1,0,0,0,5,-2,-1,-2,-1,0,1
2,0,0,0,5,0,12,-2,-1,4,2
3,0,0,0,12,-2,-1,-2,-1,4,1
4,2,2,0,12,0,11,-2,-1,0,2
5,0,0,0,11,-2,-1,-2,-1,1,1
6,0,0,0,11,-2,-1,-2,-1,1,1
7,0,0,3,4,-2,-1,-2,-1,0,1
8,0,0,0,5,3,4,-2,-1,5,2
9,0,0,0,5,3,4,4,4,0,3
10,0,0,0,5,0,12,4,4,0,3
11,2,2,0,12,4,4,2,10,0,2
12,0,0,0,12,0,11,2,10,0,2
13,2,2,0,11,2,10,1,5,0,1
14,0,0,0,11,1,5,-2,-1,0,2
15,0,0,1,5,-2,-1,-2,-1,0,1
16,0,0,2,11,-2,-1,-2,-1,0,1
17,0,0,3,4,2,11,-2,-1,0,2
18,0,0,3,4,2,11,3,6,0,3
19,0,0,3,4,4,4,3,6,0,3
20,0,0,4,4,3,6,1,8,0,3
21,0,0,4,4,2,10,1,8,0,1
22,0,0,2,10,1,8,-1,7,0,0
23,0,0,2,10,1,5,-1,7,0,0
24,0,0,1,5,-1,7,4,3,0,3
25,0,0,1,5,4,3,-2,-1,1,2
26,0,0,4,3,-2,-1,-2,-1,1,1
27,0,0,2,11,-2,-1,-2,-1,1,1
28,4,1,2,11,2,3,-2,-1,1,2
29,0,0,2,11,3,6,2,3,0,3
30,0,0,3,6,2,3,4,2,0,3
31,4,1,3,6,1,8,4,2,0,3
32,0,0,1,8,4,2,4,9,0,3
33,0,0,1,8,-1,7,4,9,0,3
34,0,0,-1,7,4,9,2,10,0,3
35,0,0,-1,7,4,3,2,10,0,3
36,0,0,4,3,2,10,-2,-1,0,2
37,1,1,4,3,-2,-1,-2,-1,0,1
38,0,0,2,3,-2,-1,-2,-1,0,1
39,0,0,2,3,3,9,-2,-1,1,2
40,3,1,2,3,4,2,3,9,0,3
41,0,0,4,2,3,9,1,8,0,3
42,0,0,4,2,4,9,1,8,0,3
43,0,0,4,9,1,8,0,6,0,3
44,0,0,4,9,2,10,0,6,0,3
45,0,0,2,10,0,6,-2,-1,2,2
46,1,1,2,10,-2,-1,-2,-1,2,1
47,3,2,3,9,-2,-1,-2,-1,1,1
48,0,0,3,9,-2,-1,-2,-1,0,1
49,0,0,3,9,1,8,-2,-1,6,2
50,0,0,1,8,-2,-1,-2,-1,6,1
51,3,2,1,8,0,6,-2,-1,0,2
52,0,0,0,6,-2,-1,-2,-1,0,1
53,0,0,0,6,-2,-1,-2,-1,0,1